VARIABLES= "X", "Y", "Z","P"
3.9486 5.90446 1.94992 0.0259416
4.25893 5.32712 1.84882 0.0318538
4.26808 4.17799 2.75826 0.0514854
3.86118 5.03794 1.40002 0.0399984
3.89384 5.45553 1.70769 0.0338408
3.23529 5.12773 1.57857 0.0619117
3.44175 5.71386 1.48699 0.035407
3.18961 5.44613 1.28823 0.0381114
4.85778 3.98796 4.14772 0.020705
4.50817 4.27359 3.86033 0.0330571
4.75535 4.13685 4.18456 0.0227976
4.00365 2.72485 2.14083 0.0436334
4.04404 2.75451 2.29935 0.0439325
4.02855 3.12932 2.22193 0.0539763
4.26408 3.27537 2.01584 0.0419565
4.35854 2.98304 1.80259 0.0343314
5.99288 5.49467 4.17376 0.00377395
6.00114 5.53886 4.36628 0.00347379
5.86172 5.87301 4.41589 0.00285012
3.68071 6.06371 3.33688 0.0312235
3.81036 6.03809 2.78411 0.0274202
3.65081 5.35869 3.00063 0.0217144
3.29618 5.61297 3.20531 0.0493659
3.48984 5.52219 2.41338 0.044356
3.32145 5.50382 2.7952 0.0397121
4.16714 5.79793 3.08172 0.0234033
3.91501 4.04405 3.31754 0.0668777
4.31921 5.30794 3.52676 0.0315523
4.42766 5.32701 3.30782 0.0294297
2.07556 6.41914 3.06417 0.453264
4.49372 5.70417 3.40177 0.0225326
4.46303 5.99881 3.42912 0.0163932
3.58563 5.08454 2.98186 0.0548497
3.56329 5.03504 3.83335 0.0630883
3.80454 5.41276 3.86241 0.042725
6.40295 5.50319 1.91142 0.00289726
3.58271 5.46238 3.87505 0.0499882
5.79842 6.57523 1.13251 0.00158483
3.93988 6.01739 3.12783 0.0258506
3.9271 6.07276 3.55606 0.0242004
5.8177 6.16368 2.3438 0.0043238
6.14006 6.1946 2.1625 0.00297043
4.25798 4.60129 3.60046 0.040765
5.73359 3.26448 2.61027 0.0106802
5.64069 3.65487 2.72446 0.0138093
5.21239 4.05941 2.90971 0.0213344
5.54841 4.40274 2.82229 0.0135148
2.68205 5.50531 4.94003 0.048545
4.99834 3.93897 2.22205 0.023699
4.5867 4.76112 2.096 0.0323927
5.17 4.0584 1.5737 0.0160457
4.87335 4.90313 4.60546 0.00901897
5.70858 3.84192 2.6207 0.0117902
4.6819 3.67552 2.83499 0.0302573
5.3523 3.05059 2.01369 0.0120544
5.19931 5.21553 2.25713 0.0153073
4.7926 4.33437 3.50852 0.0263173
4.8049 3.63545 2.32961 0.0280803
4.26507 4.54331 2.62938 0.0438075
5.83379 3.2344 2.78985 0.00918461
5.39824 3.71774 2.72437 0.0139548
5.60684 4.32535 3.57398 0.0110241
5.77835 4.14364 2.87164 0.010903
5.71852 5.05491 2.81285 0.0104075
