VARIABLES= "X", "Y", "Z","T"
1.47317 1.26879 0.331166 8.06304
1.4418 1.60547 0.181757 10.8016
1.38301 1.52127 0.217225 12.8918
1.56816 1.7485 0.886536 4.37566
1.90892 1.93889 0.727443 0.542267
1.60512 1.85026 0.896412 3.11095
1.6139 1.82551 0.880167 3.97901
1.59188 1.72624 0.906842 3.7229
1.67154 1.79294 0.848924 3.15415
1.67379 1.75358 0.84815 3.24523
1.657 1.7433 0.903802 2.76329
1.51103 1.29692 0.233871 6.82805
1.52752 1.28655 0.196122 5.72866
1.57026 1.31117 0.154437 4.49281
1.64834 1.78418 0.413681 4.93458
1.74327 1.79292 0.36911 3.02577
1.71854 1.73538 0.340619 3.61689
1.48156 1.6371 0.819499 8.09857
1.57974 1.62122 0.876214 5.17308
1.57823 1.63263 0.735927 6.7799
1.59689 1.62582 0.775996 5.61748
1.54811 1.65714 0.747076 7.57935
1.56552 1.5101 0.69239 7.6989
1.54454 1.53304 0.670657 8.24952
1.64174 1.60206 0.711584 5.24037
1.55583 1.56692 0.750424 6.86939
1.70553 1.36787 0.124193 2.55405
1.55804 1.61568 0.765743 6.50289
1.61708 1.64278 0.74618 5.59785
1.58879 1.55537 0.830998 5.35411
1.61046 1.51571 0.687149 6.63319
1.5029 1.68466 0.594487 9.53475
1.64576 1.71231 0.754838 4.50194
1.65658 1.73602 0.720682 4.29161
1.55319 1.69822 0.734659 7.35604
1.51858 1.65913 0.710873 8.24499
1.73965 1.59961 0.0862854 1.79002
1.47878 1.71699 0.202078 8.87704
1.55795 1.59162 0.192953 6.36135
1.60309 1.6143 0.212041 5.39932
1.712 1.55701 0.374287 4.31031
1.58731 1.53723 0.304291 6.80038
1.5055 1.74574 0.360951 9.6694
1.50086 1.74356 0.443032 9.16855
1.74484 1.49906 0.0786108 1.49954
1.88025 1.47867 0.0825919 1.02971
1.67754 1.74177 0.67641 4.2244
1.70426 1.77777 0.696749 3.29609
1.79287 1.73436 0.72851 2.15389
1.23214 1.10599 0.35606 20.2519
1.71439 1.77074 0.793244 3.1769
1.7746 1.81432 0.252815 2.06303
1.06257 1.92873 0.905867 169.877
1.72966 1.70662 0.196771 2.95304
1.67827 1.71921 0.20838 3.8351
1.79384 1.7746 0.204188 1.92415
1.77941 1.74957 0.318345 2.6131
1.80328 1.78535 0.258234 1.94855
1.01812 1.55368 0.567371 4.88547
1.7474 1.67792 0.221589 2.83544
