VARIABLES= "X", "Y", "Z","T"
1.17236 1 0.575613 25.5972
1.90018 1 0.0903058 0.185563
1.08759 1 0.908621 300
1.09197 1 0.0879344 1
1.91446 1 0.914458 0.167529
1.09102 1 0.202148 300
1.05981 1 0.293817 1
1.14095 1 0.318275 28.5202
1.07642 1 0.399116 1
1.17316 1 0.418949 18.3476
1.24846 1 0.352104 11.0151
1.2008 1 0.246502 14.6674
1.33034 1 0.495022 6.57612
1.26824 1 0.556413 9.53346
1.37265 1 0.569571 5.01651
1.33087 1 0.139362 3.98217
1.40352 1 0.0797462 1.66855
1.30806 1 0.0657159 4.29772
1.20342 1 0.905522 21.9514
1.29362 1 0.940761 7.69366
1.31841 1 0.859344 8.80252
1.79829 1 0.072044 0.300819
1.712 1 0.0568911 0.356231
1.70666 1 0.130305 0.588223
1.39923 1 0.92413 4.52612
1.4975 1 0.946478 1.29329
1.41926 1 0.661278 4.54897
1.31781 1 0.65108 7.49799
1.08049 1 0.593328 300
1.06586 1 0.691309 1
1.52012 1 0.675349 2.47152
1.58907 1 0.606212 1.43437
1.48266 1 0.573596 2.72372
1.63274 1 0.277454 1.03917
1.61981 1 0.188071 0.921564
1.54855 1 0.256172 1.51516
1.59491 1 0.0887633 0.841852
1.52016 1 0.179072 1.58425
1.48768 1 0.114079 1.45465
1.93964 1 0.290678 0.224347
1.83783 1 0.837415 0.364477
1.92804 1 0.834003 0.248222
1.89178 1 0.754921 0.319877
1.92296 1 0.591013 0.283677
1.93324 1 0.690865 0.262041
1.947 1 0.49446 0.204984
1.8027 1 0.733948 0.482783
1.66691 1 0.860583 0.85087
1.59389 1 0.920581 0.741292
1.69142 1 0.93435 0.477147
1.3512 1 0.224643 4.3919
1.42336 1 0.166832 2.47224
1.79817 1 0.25239 0.534325
1.90082 1 0.204829 0.252412
1.80207 1 0.158156 0.418444
1.49581 1 0.878968 2.08308
1.57616 1 0.834954 1.51407
1.92293 1 0.394316 0.288573
1.6169 1 0.694025 1.14885
1.83434 1 0.928534 0.226628
1.63828 1 0.368895 1.50704
1.64612 1 0.458905 1.33079
1.73181 1 0.402687 0.837218
1.34132 1 0.417126 6.29109
1.46087 1 0.383021 2.96174
1.35602 1 0.322015 5.40165
1.1718 1 0.0643146 27.5365
1.06431 1 0.828199 300
1.14886 1 0.824135 43.3485
1.87698 1 0.487936 0.37879
1.65778 1 0.54302 1.00642
1.68342 1 0.627489 0.977785
1.74167 1 0.560738 0.686695
1.71286 1 0.217907 0.633109
1.41895 1 0.830347 4.10709
1.45988 1 0.74817 3.0216
1.34983 1 0.753814 6.23463
1.26015 1 0.455484 9.27709
1.71388 1 0.489764 0.926385
1.83122 1 0.400419 0.523511
